file,method,path,mountedAt,hasValidateToken,hasExtractTenantId,isPublic,dynamoCallsCount,dynamoCallsWithTenantIdInKey,dynamoCallsMissingTenantId,severity,securityNotes
auth.js,N/A,N/A,/api/auth,N/A,N/A,N/A,0,0,0,OK,"Empty router — Cognito handles auth externally"
b2bLeads.js,POST,/b2b-leads,/api,N,N,Y,1,0,1,P1,"Public lead submission — no rate limiting; DDB call uses hardcoded partition (by design for public form)"
b2bLeads.js,GET,/b2b-leads,/api,Y,N,N,1,0,1,P1,"Missing extractTenantId — uses req.user.tenantId from validateToken; verify DDB key includes tenantId"
b2bLeads.js,GET,/b2b-leads/:leadId,/api,Y,N,N,1,0,1,P1,"Missing extractTenantId — relies on validateToken user context"
b2bLeads.js,PUT,/b2b-leads/:leadId,/api,Y,N,N,1,0,1,P1,"Missing extractTenantId — relies on validateToken user context"
b2bLeads.js,POST,/b2b-leads/:leadId/notes,/api,Y,N,N,1,0,1,P1,"Missing extractTenantId — relies on validateToken user context"
enquiries.js,POST,/,/api/enquiries,N,N,Y,1,0,1,OK,"Public enquiry form — by design; DDB uses enquiry-specific table"
enquiries.js,GET,/,/api/enquiries,Y,Y,N,3,3,0,OK,"Properly secured with validateToken + extractTenantId"
enquiries.js,GET,/:id,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,PUT,/:id,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,DELETE,/:id,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,POST,/:id/follow-ups,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,PUT,/:id/status,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,GET,/stats/overview,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,GET,/stats/category-breakdown,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,GET,/stats/trend,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
enquiries.js,GET,/:id/with-property,/api/enquiries,Y,Y,N,2,2,0,OK,"Properly secured"
enquiries.js,POST,/,/api/enquiries (public),N,N,Y,1,0,1,OK,"Public submission — no rate limit (consider adding)"
enquiries.js,GET,/search,/api/enquiries,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/customers,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/customers/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/customers,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,PUT,/customers/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/customers/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/customers/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,PUT,/customers/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,DELETE,/customers/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/owners,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/owners/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/owners,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,PUT,/owners/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/owners/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/owners/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,PUT,/owners/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,DELETE,/owners/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/properties,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/properties/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/properties,/api/crm,Y,Y,N,2,2,0,OK,"Properly secured"
crm.js,PUT,/properties/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,DELETE,/properties/:id,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,GET,/properties/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/properties/:id/notes,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,PUT,/properties/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,DELETE,/properties/:id/notes/:noteId,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured"
crm.js,POST,/properties/:id/documents,/api/crm,Y,Y,N,1,1,0,OK,"Properly secured + file upload"
crm.js,GET,/properties/:id/with-documents,/api/crm,Y,Y,N,2,2,0,OK,"Properly secured"
contacts.js,GET,/,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/owners,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/sellers,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/buyers,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/tenants,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/lookup/by-phone,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/:id,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,GET,/:id/with-documents,/api/crm/contacts,Y,Y,N,2,2,0,OK,"Properly secured"
contacts.js,POST,/,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/upsert-by-phone,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,PUT,/:id,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,PUT,/:id/role,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,DELETE,/:id,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/:id/documents,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured + file upload"
contacts.js,GET,/:id/notes,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/:id/notes,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,PUT,/:id/notes/:noteId,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,DELETE,/:id/notes/:noteId,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/migrate/owner/:ownerId,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/migrate/customer/:customerId,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
contacts.js,POST,/migrate/all,/api/crm/contacts,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,GET,/,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,GET,/search,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,GET,/:id,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,POST,/,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,PUT,/:id,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,DELETE,/:id,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,POST,/:id/convert,/api/crm/leads,Y,Y,N,2,2,0,OK,"Properly secured"
leads.js,GET,/:id/notes,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,POST,/:id/notes,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,PUT,/:id/notes/:noteId,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
leads.js,DELETE,/:id/notes/:noteId,/api/crm/leads,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,GET,/,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,GET,/:id,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,POST,/,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,PUT,/:id,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,GET,/lookup/by-phone,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,GET,/:id/notes,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,POST,/:id/notes,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,GET,/metrics/summary,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured"
buyers.js,POST,/:id/documents,/api/crm/buyers,Y,Y,N,1,1,0,OK,"Properly secured + file upload"
buyers.js,GET,/:id/with-documents,/api/crm/buyers,Y,Y,N,2,2,0,OK,"Properly secured"
